tradingtime,deliverytime,price
2025-01-01 10:00:00,2025-01-01 12:00:00,10.9
2025-01-01 10:00:00,2025-01-01 13:00:00,19.87
2025-01-01 10:00:00,2025-01-01 14:00:00,18.700000000000003
2025-01-01 10:00:00,2025-01-01 15:00:00,10.11
2025-01-01 10:00:00,2025-01-01 16:00:00,19.64
2025-01-01 10:00:00,2025-01-01 17:00:00,32.545
2025-01-01 10:00:00,2025-01-01 18:00:00,43.435
2025-01-01 10:00:00,2025-01-01 19:00:00,49.4
2025-01-01 10:00:00,2025-01-01 20:00:00,48.19
2025-01-01 10:00:00,2025-01-01 21:00:00,53.209999999999994
2025-01-01 10:00:00,2025-01-01 22:00:00,55.5
2025-01-01 10:00:00,2025-01-01 23:00:00,48.65
2025-01-02 10:00:00,2025-01-02 12:00:00,124.745
2025-01-02 10:00:00,2025-01-02 13:00:00,122.22
2025-01-02 10:00:00,2025-01-02 14:00:00,127.0
2025-01-02 10:00:00,2025-01-02 15:00:00,127.11
2025-01-02 10:00:00,2025-01-02 16:00:00,142.22
2025-01-02 10:00:00,2025-01-02 17:00:00,156.4
2025-01-02 10:00:00,2025-01-02 18:00:00,150.48000000000002
2025-01-02 10:00:00,2025-01-02 19:00:00,141.75
2025-01-02 10:00:00,2025-01-02 20:00:00,131.39999999999998
2025-01-02 10:00:00,2025-01-02 21:00:00,118.95
2025-01-02 10:00:00,2025-01-02 22:00:00,118.00999999999999
2025-01-02 10:00:00,2025-01-02 23:00:00,107.85499999999999
2025-01-03 10:00:00,2025-01-03 12:00:00,99.03999999999999
2025-01-03 10:00:00,2025-01-03 13:00:00,91.3
2025-01-03 10:00:00,2025-01-03 14:00:00,86.19999999999999
2025-01-03 10:00:00,2025-01-03 15:00:00,88.18
2025-01-03 10:00:00,2025-01-03 16:00:00,101.565
2025-01-03 10:00:00,2025-01-03 17:00:00,132.14999999999998
2025-01-03 10:00:00,2025-01-03 18:00:00,138.0
2025-01-03 10:00:00,2025-01-03 19:00:00,137.0
2025-01-03 10:00:00,2025-01-03 20:00:00,128.29000000000002
2025-01-03 10:00:00,2025-01-03 21:00:00,114.25
2025-01-03 10:00:00,2025-01-03 22:00:00,121.99000000000001
2025-01-03 10:00:00,2025-01-03 23:00:00,123.13
2025-01-04 10:00:00,2025-01-04 12:00:00,130.43
2025-01-04 10:00:00,2025-01-04 13:00:00,131.235
2025-01-04 10:00:00,2025-01-04 14:00:00,127.52
2025-01-04 10:00:00,2025-01-04 15:00:00,122.81
2025-01-04 10:00:00,2025-01-04 16:00:00,132.945
2025-01-04 10:00:00,2025-01-04 17:00:00,134.78
2025-01-04 10:00:00,2025-01-04 18:00:00,143.26
2025-01-04 10:00:00,2025-01-04 19:00:00,142.73
2025-01-04 10:00:00,2025-01-04 20:00:00,133.14
2025-01-04 10:00:00,2025-01-04 21:00:00,128.32
2025-01-04 10:00:00,2025-01-04 22:00:00,126.1
2025-01-04 10:00:00,2025-01-04 23:00:00,119.79500000000002
2025-01-05 10:00:00,2025-01-05 12:00:00,43.325
2025-01-05 10:00:00,2025-01-05 13:00:00,31.555
2025-01-05 10:00:00,2025-01-05 14:00:00,24.03
2025-01-05 10:00:00,2025-01-05 15:00:00,23.0
2025-01-05 10:00:00,2025-01-05 16:00:00,28.0
2025-01-05 10:00:00,2025-01-05 17:00:00,45.0
2025-01-05 10:00:00,2025-01-05 18:00:00,57.099999999999994
2025-01-05 10:00:00,2025-01-05 19:00:00,59.0
2025-01-05 10:00:00,2025-01-05 20:00:00,55.2
